Upper tier local authorities Code,Upper tier local authorities,Age (9 categories) Code,Age (9 categories),Observation
E06000011,East Riding of Yorkshire,4,Aged 16 to 24 years,27598
E06000011,East Riding of Yorkshire,5,Aged 25 to 34 years,34842
E06000011,East Riding of Yorkshire,6,Aged 35 to 49 years,57560
E06000011,East Riding of Yorkshire,7,Aged 50 to 64 years,77647
E06000011,East Riding of Yorkshire,8,Aged 65 to 74 years,48432
E06000011,East Riding of Yorkshire,9,Aged 75 years and over,42063
E06000012,North East Lincolnshire,1,Aged 4 years and under,8455
E06000012,North East Lincolnshire,2,Aged 5 to 9 years,9516
E06000012,North East Lincolnshire,3,Aged 10 to 15 years,11473
E06000012,North East Lincolnshire,4,Aged 16 to 24 years,14471
E06000012,North East Lincolnshire,5,Aged 25 to 34 years,19727
E06000012,North East Lincolnshire,6,Aged 35 to 49 years,27390
E06000012,North East Lincolnshire,7,Aged 50 to 64 years,33098
E06000012,North East Lincolnshire,8,Aged 65 to 74 years,17605
E06000012,North East Lincolnshire,9,Aged 75 years and over,15231
E06000013,North Lincolnshire,1,Aged 4 years and under,8445
E06000013,North Lincolnshire,2,Aged 5 to 9 years,9648
E06000013,North Lincolnshire,3,Aged 10 to 15 years,12120
E06000013,North Lincolnshire,4,Aged 16 to 24 years,15019
E06000013,North Lincolnshire,5,Aged 25 to 34 years,20309
E06000013,North Lincolnshire,6,Aged 35 to 49 years,29947
E06000013,North Lincolnshire,7,Aged 50 to 64 years,36914
E06000013,North Lincolnshire,8,Aged 65 to 74 years,20251
E06000013,North Lincolnshire,9,Aged 75 years and over,17027
E06000014,York,1,Aged 4 years and under,8615
E06000014,York,2,Aged 5 to 9 years,9902
E06000014,York,3,Aged 10 to 15 years,12221
E06000014,York,4,Aged 16 to 24 years,33671
E06000014,York,5,Aged 25 to 34 years,25845
E06000014,York,6,Aged 35 to 49 years,36356
E06000014,York,7,Aged 50 to 64 years,37478
E06000014,York,8,Aged 65 to 74 years,20265
E06000014,York,9,Aged 75 years and over,18468
E06000015,Derby,1,Aged 4 years and under,15220
E06000015,Derby,2,Aged 5 to 9 years,16899
E06000015,Derby,3,Aged 10 to 15 years,20055
E06000015,Derby,4,Aged 16 to 24 years,31802
E06000015,Derby,5,Aged 25 to 34 years,36734
E06000015,Derby,6,Aged 35 to 49 years,51143
E06000015,Derby,7,Aged 50 to 64 years,46726
E06000015,Derby,8,Aged 65 to 74 years,22435
E06000015,Derby,9,Aged 75 years and over,20350
E06000016,Leicester,1,Aged 4 years and under,22302
E06000016,Leicester,2,Aged 5 to 9 years,24808
E06000016,Leicester,3,Aged 10 to 15 years,30447
E06000016,Leicester,4,Aged 16 to 24 years,59619
E06000016,Leicester,5,Aged 25 to 34 years,54784
E06000016,Leicester,6,Aged 35 to 49 years,74473
E06000016,Leicester,7,Aged 50 to 64 years,58637
E06000016,Leicester,8,Aged 65 to 74 years,25263
E06000016,Leicester,9,Aged 75 years and over,18238
E06000017,Rutland,1,Aged 4 years and under,1642
E06000017,Rutland,2,Aged 5 to 9 years,1972
E06000017,Rutland,3,Aged 10 to 15 years,3136
E06000017,Rutland,4,Aged 16 to 24 years,4015
E06000017,Rutland,5,Aged 25 to 34 years,4320
E06000017,Rutland,6,Aged 35 to 49 years,7009
E06000017,Rutland,7,Aged 50 to 64 years,8570
E06000017,Rutland,8,Aged 65 to 74 years,5332
E06000017,Rutland,9,Aged 75 years and over,5052
E06000018,Nottingham,1,Aged 4 years and under,17819
E06000018,Nottingham,2,Aged 5 to 9 years,19249
E06000018,Nottingham,3,Aged 10 to 15 years,22240
E06000018,Nottingham,4,Aged 16 to 24 years,71895
E06000018,Nottingham,5,Aged 25 to 34 years,48488
E06000018,Nottingham,6,Aged 35 to 49 years,57156
