Upper tier local authorities Code,Upper tier local authorities,Age (9 categories) Code,Age (9 categories),Observation
E06000056,Central Bedfordshire,6,Aged 35 to 49 years,59648
E06000056,Central Bedfordshire,7,Aged 50 to 64 years,59551
E06000056,Central Bedfordshire,8,Aged 65 to 74 years,29104
E06000056,Central Bedfordshire,9,Aged 75 years and over,23843
E06000057,Northumberland,1,Aged 4 years and under,14235
E06000057,Northumberland,2,Aged 5 to 9 years,16686
E06000057,Northumberland,3,Aged 10 to 15 years,20800
E06000057,Northumberland,4,Aged 16 to 24 years,26192
E06000057,Northumberland,5,Aged 25 to 34 years,32863
E06000057,Northumberland,6,Aged 35 to 49 years,54497
E06000057,Northumberland,7,Aged 50 to 64 years,73746
E06000057,Northumberland,8,Aged 65 to 74 years,45560
E06000057,Northumberland,9,Aged 75 years and over,35990
E06000058,"Bournemouth, Christchurch and Poole",1,Aged 4 years and under,18878
E06000058,"Bournemouth, Christchurch and Poole",2,Aged 5 to 9 years,21212
E06000058,"Bournemouth, Christchurch and Poole",3,Aged 10 to 15 years,25199
E06000058,"Bournemouth, Christchurch and Poole",4,Aged 16 to 24 years,45328
E06000058,"Bournemouth, Christchurch and Poole",5,Aged 25 to 34 years,50005
E06000058,"Bournemouth, Christchurch and Poole",6,Aged 35 to 49 years,76362
E06000058,"Bournemouth, Christchurch and Poole",7,Aged 50 to 64 years,76788
E06000058,"Bournemouth, Christchurch and Poole",8,Aged 65 to 74 years,43414
E06000058,"Bournemouth, Christchurch and Poole",9,Aged 75 years and over,43010
E06000059,Dorset,1,Aged 4 years and under,15024
E06000059,Dorset,2,Aged 5 to 9 years,18162
E06000059,Dorset,3,Aged 10 to 15 years,24491
E06000059,Dorset,4,Aged 16 to 24 years,30284
E06000059,Dorset,5,Aged 25 to 34 years,35084
E06000059,Dorset,6,Aged 35 to 49 years,58778
E06000059,Dorset,7,Aged 50 to 64 years,85480
E06000059,Dorset,8,Aged 65 to 74 years,57434
E06000059,Dorset,9,Aged 75 years and over,54842
E06000060,Buckinghamshire,1,Aged 4 years and under,30888
E06000060,Buckinghamshire,2,Aged 5 to 9 years,35155
E06000060,Buckinghamshire,3,Aged 10 to 15 years,43640
E06000060,Buckinghamshire,4,Aged 16 to 24 years,49620
E06000060,Buckinghamshire,5,Aged 25 to 34 years,64406
E06000060,Buckinghamshire,6,Aged 35 to 49 years,113069
E06000060,Buckinghamshire,7,Aged 50 to 64 years,112589
E06000060,Buckinghamshire,8,Aged 65 to 74 years,53900
E06000060,Buckinghamshire,9,Aged 75 years and over,49812
E06000061,North Northamptonshire,1,Aged 4 years and under,20206
E06000061,North Northamptonshire,2,Aged 5 to 9 years,22459
E06000061,North Northamptonshire,3,Aged 10 to 15 years,27674
E06000061,North Northamptonshire,4,Aged 16 to 24 years,33110
E06000061,North Northamptonshire,5,Aged 25 to 34 years,47230
E06000061,North Northamptonshire,6,Aged 35 to 49 years,71643
E06000061,North Northamptonshire,7,Aged 50 to 64 years,71844
E06000061,North Northamptonshire,8,Aged 65 to 74 years,36409
E06000061,North Northamptonshire,9,Aged 75 years and over,28948
E06000062,West Northamptonshire,1,Aged 4 years and under,23965
E06000062,West Northamptonshire,2,Aged 5 to 9 years,26379
E06000062,West Northamptonshire,3,Aged 10 to 15 years,31881
E06000062,West Northamptonshire,4,Aged 16 to 24 years,42986
E06000062,West Northamptonshire,5,Aged 25 to 34 years,58133
E06000062,West Northamptonshire,6,Aged 35 to 49 years,87044
E06000062,West Northamptonshire,7,Aged 50 to 64 years,82663
E06000062,West Northamptonshire,8,Aged 65 to 74 years,40260
E06000062,West Northamptonshire,9,Aged 75 years and over,32416
E08000001,Bolton,1,Aged 4 years and under,18458
E08000001,Bolton,2,Aged 5 to 9 years,20434
E08000001,Bolton,3,Aged 10 to 15 years,24782
E08000001,Bolton,4,Aged 16 to 24 years,30992
E08000001,Bolton,5,Aged 25 to 34 years,37810
E08000001,Bolton,6,Aged 35 to 49 years,57221
E08000001,Bolton,7,Aged 50 to 64 years,55544
E08000001,Bolton,8,Aged 65 to 74 years,28061
E08000001,Bolton,9,Aged 75 years and over,22662
E08000002,Bury,1,Aged 4 years and under,11159
E08000002,Bury,2,Aged 5 to 9 years,12490
E08000002,Bury,3,Aged 10 to 15 years,15329
E08000002,Bury,4,Aged 16 to 24 years,18299
E08000002,Bury,5,Aged 25 to 34 years,25011
E08000002,Bury,6,Aged 35 to 49 years,37922
E08000002,Bury,7,Aged 50 to 64 years,38193
E08000002,Bury,8,Aged 65 to 74 years,19399
E08000002,Bury,9,Aged 75 years and over,16050
E08000003,Manchester,1,Aged 4 years and under,34378
E08000003,Manchester,2,Aged 5 to 9 years,36561
E08000003,Manchester,3,Aged 10 to 15 years,43040
E08000003,Manchester,4,Aged 16 to 24 years,97609
E08000003,Manchester,5,Aged 25 to 34 years,100582
E08000003,Manchester,6,Aged 35 to 49 years,108895
E08000003,Manchester,7,Aged 50 to 64 years,78705
E08000003,Manchester,8,Aged 65 to 74 years,30299
E08000003,Manchester,9,Aged 75 years and over,21866
E08000004,Oldham,1,Aged 4 years and under,16005
E08000004,Oldham,2,Aged 5 to 9 years,17445
E08000004,Oldham,3,Aged 10 to 15 years,21603
E08000004,Oldham,4,Aged 16 to 24 years,26852
E08000004,Oldham,5,Aged 25 to 34 years,31695
E08000004,Oldham,6,Aged 35 to 49 years,46133
E08000004,Oldham,7,Aged 50 to 64 years,43741
E08000004,Oldham,8,Aged 65 to 74 years,21459
E08000004,Oldham,9,Aged 75 years and over,17155
E08000005,Rochdale,1,Aged 4 years and under,14639
E08000005,Rochdale,2,Aged 5 to 9 years,15475
E08000005,Rochdale,3,Aged 10 to 15 years,18712
E08000005,Rochdale,4,Aged 16 to 24 years,22677
E08000005,Rochdale,5,Aged 25 to 34 years,29993
E08000005,Rochdale,6,Aged 35 to 49 years,43427
E08000005,Rochdale,7,Aged 50 to 64 years,41986
E08000005,Rochdale,8,Aged 65 to 74 years,21189
E08000005,Rochdale,9,Aged 75 years and over,15678
E08000006,Salford,1,Aged 4 years and under,17257
E08000006,Salford,2,Aged 5 to 9 years,16713
E08000006,Salford,3,Aged 10 to 15 years,19030
E08000006,Salford,4,Aged 16 to 24 years,35180
E08000006,Salford,5,Aged 25 to 34 years,50875
E08000006,Salford,6,Aged 35 to 49 years,51795
E08000006,Salford,7,Aged 50 to 64 years,43149
E08000006,Salford,8,Aged 65 to 74 years,19653
E08000006,Salford,9,Aged 75 years and over,16271
E08000007,Stockport,1,Aged 4 years and under,16575
E08000007,Stockport,2,Aged 5 to 9 years,18057
E08000007,Stockport,3,Aged 10 to 15 years,21214
E08000007,Stockport,4,Aged 16 to 24 years,24842
E08000007,Stockport,5,Aged 25 to 34 years,37001
E08000007,Stockport,6,Aged 35 to 49 years,59088
E08000007,Stockport,7,Aged 50 to 64 years,58720
E08000007,Stockport,8,Aged 65 to 74 years,30951
E08000007,Stockport,9,Aged 75 years and over,28324
E08000008,Tameside,1,Aged 4 years and under,13666
E08000008,Tameside,2,Aged 5 to 9 years,14701
E08000008,Tameside,3,Aged 10 to 15 years,17569
E08000008,Tameside,4,Aged 16 to 24 years,21662
E08000008,Tameside,5,Aged 25 to 34 years,31518
E08000008,Tameside,6,Aged 35 to 49 years,44780
E08000008,Tameside,7,Aged 50 to 64 years,46660
E08000008,Tameside,8,Aged 65 to 74 years,22807
E08000008,Tameside,9,Aged 75 years and over,17710
E08000009,Trafford,1,Aged 4 years and under,13466
E08000009,Trafford,2,Aged 5 to 9 years,16009
E08000009,Trafford,3,Aged 10 to 15 years,19426
E08000009,Trafford,4,Aged 16 to 24 years,20746
E08000009,Trafford,5,Aged 25 to 34 years,27469
E08000009,Trafford,6,Aged 35 to 49 years,51209
E08000009,Trafford,7,Aged 50 to 64 years,45435
E08000009,Trafford,8,Aged 65 to 74 years,21488
E08000009,Trafford,9,Aged 75 years and over,19804
E08000010,Wigan,1,Aged 4 years and under,17782
E08000010,Wigan,2,Aged 5 to 9 years,19247
E08000010,Wigan,3,Aged 10 to 15 years,23607
E08000010,Wigan,4,Aged 16 to 24 years,30682
E08000010,Wigan,5,Aged 25 to 34 years,43689
E08000010,Wigan,6,Aged 35 to 49 years,62754
E08000010,Wigan,7,Aged 50 to 64 years,67966
E08000010,Wigan,8,Aged 65 to 74 years,35248
E08000010,Wigan,9,Aged 75 years and over,28355
E08000011,Knowsley,1,Aged 4 years and under,9735
E08000011,Knowsley,2,Aged 5 to 9 years,9489
E08000011,Knowsley,3,Aged 10 to 15 years,10996
E08000011,Knowsley,4,Aged 16 to 24 years,15134
E08000011,Knowsley,5,Aged 25 to 34 years,22306
E08000011,Knowsley,6,Aged 35 to 49 years,27643
E08000011,Knowsley,7,Aged 50 to 64 years,32974
E08000011,Knowsley,8,Aged 65 to 74 years,15112
E08000011,Knowsley,9,Aged 75 years and over,11130
E08000012,Liverpool,1,Aged 4 years and under,26372
E08000012,Liverpool,2,Aged 5 to 9 years,26726
E08000012,Liverpool,3,Aged 10 to 15 years,29962
E08000012,Liverpool,4,Aged 16 to 24 years,78465
E08000012,Liverpool,5,Aged 25 to 34 years,75396
E08000012,Liverpool,6,Aged 35 to 49 years,87489
E08000012,Liverpool,7,Aged 50 to 64 years,87356
E08000012,Liverpool,8,Aged 65 to 74 years,42415
E08000012,Liverpool,9,Aged 75 years and over,31907
E08000013,St. Helens,1,Aged 4 years and under,9659
E08000013,St. Helens,2,Aged 5 to 9 years,10346
E08000013,St. Helens,3,Aged 10 to 15 years,12672
E08000013,St. Helens,4,Aged 16 to 24 years,16710
E08000013,St. Helens,5,Aged 25 to 34 years,23778
E08000013,St. Helens,6,Aged 35 to 49 years,34231
E08000013,St. Helens,7,Aged 50 to 64 years,38210
E08000013,St. Helens,8,Aged 65 to 74 years,20497
E08000013,St. Helens,9,Aged 75 years and over,17145
E08000014,Sefton,1,Aged 4 years and under,13508
E08000014,Sefton,2,Aged 5 to 9 years,15071
E08000014,Sefton,3,Aged 10 to 15 years,18264
E08000014,Sefton,4,Aged 16 to 24 years,24562
E08000014,Sefton,5,Aged 25 to 34 years,32374
E08000014,Sefton,6,Aged 35 to 49 years,49087
E08000014,Sefton,7,Aged 50 to 64 years,61604
E08000014,Sefton,8,Aged 65 to 74 years,33385
E08000014,Sefton,9,Aged 75 years and over,31378
E08000015,Wirral,1,Aged 4 years and under,16316
E08000015,Wirral,2,Aged 5 to 9 years,18798
E08000015,Wirral,3,Aged 10 to 15 years,22974
E08000015,Wirral,4,Aged 16 to 24 years,28350
E08000015,Wirral,5,Aged 25 to 34 years,37622
E08000015,Wirral,6,Aged 35 to 49 years,57349
E08000015,Wirral,7,Aged 50 to 64 years,68398
E08000015,Wirral,8,Aged 65 to 74 years,38022
E08000015,Wirral,9,Aged 75 years and over,32370
E08000016,Barnsley,1,Aged 4 years and under,13463
E08000016,Barnsley,2,Aged 5 to 9 years,14366
E08000016,Barnsley,3,Aged 10 to 15 years,16953
E08000016,Barnsley,4,Aged 16 to 24 years,22101
E08000016,Barnsley,5,Aged 25 to 34 years,32949
E08000016,Barnsley,6,Aged 35 to 49 years,44857
E08000016,Barnsley,7,Aged 50 to 64 years,52285
E08000016,Barnsley,8,Aged 65 to 74 years,26460
E08000016,Barnsley,9,Aged 75 years and over,21136
E08000017,Doncaster,1,Aged 4 years and under,16942
E08000017,Doncaster,2,Aged 5 to 9 years,18119
E08000017,Doncaster,3,Aged 10 to 15 years,22120
E08000017,Doncaster,4,Aged 16 to 24 years,28852
E08000017,Doncaster,5,Aged 25 to 34 years,42041
E08000017,Doncaster,6,Aged 35 to 49 years,56796
E08000017,Doncaster,7,Aged 50 to 64 years,63384
E08000017,Doncaster,8,Aged 65 to 74 years,32859
E08000017,Doncaster,9,Aged 75 years and over,26993
E08000018,Rotherham,1,Aged 4 years and under,14645
E08000018,Rotherham,2,Aged 5 to 9 years,15980
E08000018,Rotherham,3,Aged 10 to 15 years,19609
E08000018,Rotherham,4,Aged 16 to 24 years,25501
E08000018,Rotherham,5,Aged 25 to 34 years,34427
E08000018,Rotherham,6,Aged 35 to 49 years,48939
E08000018,Rotherham,7,Aged 50 to 64 years,54478
E08000018,Rotherham,8,Aged 65 to 74 years,28241
E08000018,Rotherham,9,Aged 75 years and over,23986
E08000019,Sheffield,1,Aged 4 years and under,30179
E08000019,Sheffield,2,Aged 5 to 9 years,32018
E08000019,Sheffield,3,Aged 10 to 15 years,38076
E08000019,Sheffield,4,Aged 16 to 24 years,82300
E08000019,Sheffield,5,Aged 25 to 34 years,79401
E08000019,Sheffield,6,Aged 35 to 49 years,99415
E08000019,Sheffield,7,Aged 50 to 64 years,100315
E08000019,Sheffield,8,Aged 65 to 74 years,49413
E08000019,Sheffield,9,Aged 75 years and over,45406
E08000021,Newcastle upon Tyne,1,Aged 4 years and under,15651
E08000021,Newcastle upon Tyne,2,Aged 5 to 9 years,16704
E08000021,Newcastle upon Tyne,3,Aged 10 to 15 years,19320
E08000021,Newcastle upon Tyne,4,Aged 16 to 24 years,57086
E08000021,Newcastle upon Tyne,5,Aged 25 to 34 years,44636
E08000021,Newcastle upon Tyne,6,Aged 35 to 49 years,52598
E08000021,Newcastle upon Tyne,7,Aged 50 to 64 years,49617
E08000021,Newcastle upon Tyne,8,Aged 65 to 74 years,24463
E08000021,Newcastle upon Tyne,9,Aged 75 years and over,20052
E08000022,North Tyneside,1,Aged 4 years and under,10991
E08000022,North Tyneside,2,Aged 5 to 9 years,11939
E08000022,North Tyneside,3,Aged 10 to 15 years,14525
E08000022,North Tyneside,4,Aged 16 to 24 years,17507
E08000022,North Tyneside,5,Aged 25 to 34 years,26067
E08000022,North Tyneside,6,Aged 35 to 49 years,41588
E08000022,North Tyneside,7,Aged 50 to 64 years,43453
E08000022,North Tyneside,8,Aged 65 to 74 years,23972
E08000022,North Tyneside,9,Aged 75 years and over,18925
E08000023,South Tyneside,1,Aged 4 years and under,7823
E08000023,South Tyneside,2,Aged 5 to 9 years,8468
E08000023,South Tyneside,3,Aged 10 to 15 years,10193
E08000023,South Tyneside,4,Aged 16 to 24 years,13206
E08000023,South Tyneside,5,Aged 25 to 34 years,18527
E08000023,South Tyneside,6,Aged 35 to 49 years,26588
E08000023,South Tyneside,7,Aged 50 to 64 years,32133
E08000023,South Tyneside,8,Aged 65 to 74 years,17149
E08000023,South Tyneside,9,Aged 75 years and over,13689
E08000024,Sunderland,1,Aged 4 years and under,13849
E08000024,Sunderland,2,Aged 5 to 9 years,15239
E08000024,Sunderland,3,Aged 10 to 15 years,19013
E08000024,Sunderland,4,Aged 16 to 24 years,26807
E08000024,Sunderland,5,Aged 25 to 34 years,35067
E08000024,Sunderland,6,Aged 35 to 49 years,49538
E08000024,Sunderland,7,Aged 50 to 64 years,58393
E08000024,Sunderland,8,Aged 65 to 74 years,31599
E08000024,Sunderland,9,Aged 75 years and over,24667
E08000025,Birmingham,1,Aged 4 years and under,75023
E08000025,Birmingham,2,Aged 5 to 9 years,81270
E08000025,Birmingham,3,Aged 10 to 15 years,99003
E08000025,Birmingham,4,Aged 16 to 24 years,163737
E08000025,Birmingham,5,Aged 25 to 34 years,167439
E08000025,Birmingham,6,Aged 35 to 49 years,222680
E08000025,Birmingham,7,Aged 50 to 64 years,185278
E08000025,Birmingham,8,Aged 65 to 74 years,79931
E08000025,Birmingham,9,Aged 75 years and over,70558
E08000026,Coventry,1,Aged 4 years and under,20442
E08000026,Coventry,2,Aged 5 to 9 years,21965
E08000026,Coventry,3,Aged 10 to 15 years,26044
E08000026,Coventry,4,Aged 16 to 24 years,53054
E08000026,Coventry,5,Aged 25 to 34 years,50030
E08000026,Coventry,6,Aged 35 to 49 years,66103
E08000026,Coventry,7,Aged 50 to 64 years,57373
E08000026,Coventry,8,Aged 65 to 74 years,26050
E08000026,Coventry,9,Aged 75 years and over,24263
E08000027,Dudley,1,Aged 4 years and under,18176
E08000027,Dudley,2,Aged 5 to 9 years,19775
E08000027,Dudley,3,Aged 10 to 15 years,23049
E08000027,Dudley,4,Aged 16 to 24 years,31041
E08000027,Dudley,5,Aged 25 to 34 years,41807
E08000027,Dudley,6,Aged 35 to 49 years,59241
E08000027,Dudley,7,Aged 50 to 64 years,64341
E08000027,Dudley,8,Aged 65 to 74 years,33820
E08000027,Dudley,9,Aged 75 years and over,32238
E08000028,Sandwell,1,Aged 4 years and under,22176
E08000028,Sandwell,2,Aged 5 to 9 years,24566
E08000028,Sandwell,3,Aged 10 to 15 years,29062
E08000028,Sandwell,4,Aged 16 to 24 years,37666
E08000028,Sandwell,5,Aged 25 to 34 years,47432
E08000028,Sandwell,6,Aged 35 to 49 years,70069
E08000028,Sandwell,7,Aged 50 to 64 years,61158
E08000028,Sandwell,8,Aged 65 to 74 years,26514
E08000028,Sandwell,9,Aged 75 years and over,23191
E08000029,Solihull,1,Aged 4 years and under,11693
E08000029,Solihull,2,Aged 5 to 9 years,13771
E08000029,Solihull,3,Aged 10 to 15 years,16274
E08000029,Solihull,4,Aged 16 to 24 years,19892
E08000029,Solihull,5,Aged 25 to 34 years,25007
E08000029,Solihull,6,Aged 35 to 49 years,39961
E08000029,Solihull,7,Aged 50 to 64 years,44042
E08000029,Solihull,8,Aged 65 to 74 years,23016
E08000029,Solihull,9,Aged 75 years and over,22583
E08000030,Walsall,1,Aged 4 years and under,18193
E08000030,Walsall,2,Aged 5 to 9 years,19549
E08000030,Walsall,3,Aged 10 to 15 years,23282
E08000030,Walsall,4,Aged 16 to 24 years,29738
E08000030,Walsall,5,Aged 25 to 34 years,37613
E08000030,Walsall,6,Aged 35 to 49 years,53679
E08000030,Walsall,7,Aged 50 to 64 years,52608
E08000030,Walsall,8,Aged 65 to 74 years,25406
E08000030,Walsall,9,Aged 75 years and over,24056
E08000031,Wolverhampton,1,Aged 4 years and under,16325
E08000031,Wolverhampton,2,Aged 5 to 9 years,17727
E08000031,Wolverhampton,3,Aged 10 to 15 years,21233
E08000031,Wolverhampton,4,Aged 16 to 24 years,27911
E08000031,Wolverhampton,5,Aged 25 to 34 years,35957
E08000031,Wolverhampton,6,Aged 35 to 49 years,52701
E08000031,Wolverhampton,7,Aged 50 to 64 years,48592
E08000031,Wolverhampton,8,Aged 65 to 74 years,22607
E08000031,Wolverhampton,9,Aged 75 years and over,20675
E08000032,Bradford,1,Aged 4 years and under,36096
E08000032,Bradford,2,Aged 5 to 9 years,39556
E08000032,Bradford,3,Aged 10 to 15 years,49185
E08000032,Bradford,4,Aged 16 to 24 years,63079
E08000032,Bradford,5,Aged 25 to 34 years,72559
E08000032,Bradford,6,Aged 35 to 49 years,107702
E08000032,Bradford,7,Aged 50 to 64 years,95233
E08000032,Bradford,8,Aged 65 to 74 years,46496
E08000032,Bradford,9,Aged 75 years and over,36505
E08000033,Calderdale,1,Aged 4 years and under,11317
E08000033,Calderdale,2,Aged 5 to 9 years,12803
E08000033,Calderdale,3,Aged 10 to 15 years,15877
E08000033,Calderdale,4,Aged 16 to 24 years,19163
E08000033,Calderdale,5,Aged 25 to 34 years,24920
E08000033,Calderdale,6,Aged 35 to 49 years,39472
E08000033,Calderdale,7,Aged 50 to 64 years,43769
E08000033,Calderdale,8,Aged 65 to 74 years,21959
E08000033,Calderdale,9,Aged 75 years and over,17351
E08000034,Kirklees,1,Aged 4 years and under,25144
E08000034,Kirklees,2,Aged 5 to 9 years,27644
E08000034,Kirklees,3,Aged 10 to 15 years,34153
E08000034,Kirklees,4,Aged 16 to 24 years,47172
E08000034,Kirklees,5,Aged 25 to 34 years,54869
E08000034,Kirklees,6,Aged 35 to 49 years,83410
E08000034,Kirklees,7,Aged 50 to 64 years,84011
E08000034,Kirklees,8,Aged 65 to 74 years,42461
E08000034,Kirklees,9,Aged 75 years and over,34352
E08000035,Leeds,1,Aged 4 years and under,46800
E08000035,Leeds,2,Aged 5 to 9 years,49614
E08000035,Leeds,3,Aged 10 to 15 years,57068
E08000035,Leeds,4,Aged 16 to 24 years,113371
E08000035,Leeds,5,Aged 25 to 34 years,121267
E08000035,Leeds,6,Aged 35 to 49 years,157374
E08000035,Leeds,7,Aged 50 to 64 years,139693
E08000035,Leeds,8,Aged 65 to 74 years,67998
E08000035,Leeds,9,Aged 75 years and over,58768
E08000036,Wakefield,1,Aged 4 years and under,20074
E08000036,Wakefield,2,Aged 5 to 9 years,20994
E08000036,Wakefield,3,Aged 10 to 15 years,24764
E08000036,Wakefield,4,Aged 16 to 24 years,31934
E08000036,Wakefield,5,Aged 25 to 34 years,48974
E08000036,Wakefield,6,Aged 35 to 49 years,67141
E08000036,Wakefield,7,Aged 50 to 64 years,72877
E08000036,Wakefield,8,Aged 65 to 74 years,36926
E08000036,Wakefield,9,Aged 75 years and over,29680
E08000037,Gateshead,1,Aged 4 years and under,10053
E08000037,Gateshead,2,Aged 5 to 9 years,11070
E08000037,Gateshead,3,Aged 10 to 15 years,13279
E08000037,Gateshead,4,Aged 16 to 24 years,18439
E08000037,Gateshead,5,Aged 25 to 34 years,25873
E08000037,Gateshead,6,Aged 35 to 49 years,36930
E08000037,Gateshead,7,Aged 50 to 64 years,40734
E08000037,Gateshead,8,Aged 65 to 74 years,21359
E08000037,Gateshead,9,Aged 75 years and over,18414
E09000001,City of London,1,Aged 4 years and under,213
E09000001,City of London,2,Aged 5 to 9 years,159
E09000001,City of London,3,Aged 10 to 15 years,206
E09000001,City of London,4,Aged 16 to 24 years,1149
E09000001,City of London,5,Aged 25 to 34 years,2215
E09000001,City of London,6,Aged 35 to 49 years,1817
E09000001,City of London,7,Aged 50 to 64 years,1617
E09000001,City of London,8,Aged 65 to 74 years,714
E09000001,City of London,9,Aged 75 years and over,495
E09000002,Barking and Dagenham,1,Aged 4 years and under,17251
E09000002,Barking and Dagenham,2,Aged 5 to 9 years,18331
E09000002,Barking and Dagenham,3,Aged 10 to 15 years,21542
E09000002,Barking and Dagenham,4,Aged 16 to 24 years,25052
E09000002,Barking and Dagenham,5,Aged 25 to 34 years,33271
E09000002,Barking and Dagenham,6,Aged 35 to 49 years,50643
E09000002,Barking and Dagenham,7,Aged 50 to 64 years,33747
E09000002,Barking and Dagenham,8,Aged 65 to 74 years,10724
E09000002,Barking and Dagenham,9,Aged 75 years and over,8308
E09000003,Barnet,1,Aged 4 years and under,24106
E09000003,Barnet,2,Aged 5 to 9 years,25249
E09000003,Barnet,3,Aged 10 to 15 years,30632
E09000003,Barnet,4,Aged 16 to 24 years,39034
E09000003,Barnet,5,Aged 25 to 34 years,58216
E09000003,Barnet,6,Aged 35 to 49 years,88344
E09000003,Barnet,7,Aged 50 to 64 years,67656
E09000003,Barnet,8,Aged 65 to 74 years,29807
E09000003,Barnet,9,Aged 75 years and over,26297
E09000004,Bexley,1,Aged 4 years and under,15031
E09000004,Bexley,2,Aged 5 to 9 years,16195
E09000004,Bexley,3,Aged 10 to 15 years,19419
E09000004,Bexley,4,Aged 16 to 24 years,24640
E09000004,Bexley,5,Aged 25 to 34 years,31987
E09000004,Bexley,6,Aged 35 to 49 years,50859
E09000004,Bexley,7,Aged 50 to 64 years,47449
E09000004,Bexley,8,Aged 65 to 74 years,21194
E09000004,Bexley,9,Aged 75 years and over,19697
E09000005,Brent,1,Aged 4 years and under,19970
E09000005,Brent,2,Aged 5 to 9 years,19833
E09000005,Brent,3,Aged 10 to 15 years,24870
E09000005,Brent,4,Aged 16 to 24 years,41212
E09000005,Brent,5,Aged 25 to 34 years,59160
E09000005,Brent,6,Aged 35 to 49 years,76164
E09000005,Brent,7,Aged 50 to 64 years,59052
E09000005,Brent,8,Aged 65 to 74 years,21908
E09000005,Brent,9,Aged 75 years and over,17647
E09000006,Bromley,1,Aged 4 years and under,19491
E09000006,Bromley,2,Aged 5 to 9 years,20627
E09000006,Bromley,3,Aged 10 to 15 years,24785
E09000006,Bromley,4,Aged 16 to 24 years,28030
E09000006,Bromley,5,Aged 25 to 34 years,40750
E09000006,Bromley,6,Aged 35 to 49 years,73534
E09000006,Bromley,7,Aged 50 to 64 years,64533
E09000006,Bromley,8,Aged 65 to 74 years,29856
E09000006,Bromley,9,Aged 75 years and over,28388
E09000007,Camden,1,Aged 4 years and under,10032
E09000007,Camden,2,Aged 5 to 9 years,9873
E09000007,Camden,3,Aged 10 to 15 years,12323
E09000007,Camden,4,Aged 16 to 24 years,31973
E09000007,Camden,5,Aged 25 to 34 years,42543
E09000007,Camden,6,Aged 35 to 49 years,44408
E09000007,Camden,7,Aged 50 to 64 years,34156
E09000007,Camden,8,Aged 65 to 74 years,13664
E09000007,Camden,9,Aged 75 years and over,11162
E09000008,Croydon,1,Aged 4 years and under,25171
E09000008,Croydon,2,Aged 5 to 9 years,24992
E09000008,Croydon,3,Aged 10 to 15 years,30158
E09000008,Croydon,4,Aged 16 to 24 years,39232
E09000008,Croydon,5,Aged 25 to 34 years,59141
E09000008,Croydon,6,Aged 35 to 49 years,85735
E09000008,Croydon,7,Aged 50 to 64 years,73217
E09000008,Croydon,8,Aged 65 to 74 years,29022
E09000008,Croydon,9,Aged 75 years and over,24051
E09000009,Ealing,1,Aged 4 years and under,21515
E09000009,Ealing,2,Aged 5 to 9 years,22245
E09000009,Ealing,3,Aged 10 to 15 years,27984
E09000009,Ealing,4,Aged 16 to 24 years,40092
E09000009,Ealing,5,Aged 25 to 34 years,59675
E09000009,Ealing,6,Aged 35 to 49 years,86815
E09000009,Ealing,7,Aged 50 to 64 years,64326
E09000009,Ealing,8,Aged 65 to 74 years,24980
E09000009,Ealing,9,Aged 75 years and over,19482
E09000010,Enfield,1,Aged 4 years and under,21259
E09000010,Enfield,2,Aged 5 to 9 years,22750
E09000010,Enfield,3,Aged 10 to 15 years,28793
E09000010,Enfield,4,Aged 16 to 24 years,35768
E09000010,Enfield,5,Aged 25 to 34 years,44303
E09000010,Enfield,6,Aged 35 to 49 years,71281
E09000010,Enfield,7,Aged 50 to 64 years,60817
E09000010,Enfield,8,Aged 65 to 74 years,23948
E09000010,Enfield,9,Aged 75 years and over,21065
E09000011,Greenwich,1,Aged 4 years and under,19027
E09000011,Greenwich,2,Aged 5 to 9 years,18782
E09000011,Greenwich,3,Aged 10 to 15 years,21512
E09000011,Greenwich,4,Aged 16 to 24 years,30952
E09000011,Greenwich,5,Aged 25 to 34 years,52584
E09000011,Greenwich,6,Aged 35 to 49 years,68305
E09000011,Greenwich,7,Aged 50 to 64 years,47681
E09000011,Greenwich,8,Aged 65 to 74 years,17299
E09000011,Greenwich,9,Aged 75 years and over,12926
E09000012,Hackney,1,Aged 4 years and under,16135
E09000012,Hackney,2,Aged 5 to 9 years,15159
E09000012,Hackney,3,Aged 10 to 15 years,18384
E09000012,Hackney,4,Aged 16 to 24 years,29752
E09000012,Hackney,5,Aged 25 to 34 years,63483
E09000012,Hackney,6,Aged 35 to 49 years,57711
E09000012,Hackney,7,Aged 50 to 64 years,38020
E09000012,Hackney,8,Aged 65 to 74 years,12474
E09000012,Hackney,9,Aged 75 years and over,8031
E09000013,Hammersmith and Fulham,1,Aged 4 years and under,9075
E09000013,Hammersmith and Fulham,2,Aged 5 to 9 years,8824
E09000013,Hammersmith and Fulham,3,Aged 10 to 15 years,10631
E09000013,Hammersmith and Fulham,4,Aged 16 to 24 years,23541
E09000013,Hammersmith and Fulham,5,Aged 25 to 34 years,42788
E09000013,Hammersmith and Fulham,6,Aged 35 to 49 years,39822
E09000013,Hammersmith and Fulham,7,Aged 50 to 64 years,29490
E09000013,Hammersmith and Fulham,8,Aged 65 to 74 years,10717
E09000013,Hammersmith and Fulham,9,Aged 75 years and over,8269
E09000014,Haringey,1,Aged 4 years and under,14932
E09000014,Haringey,2,Aged 5 to 9 years,14743
E09000014,Haringey,3,Aged 10 to 15 years,18562
E09000014,Haringey,4,Aged 16 to 24 years,27943
